,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
0,Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,25,14.41,2017,Champagne
1,Crémant de Limoux Brut N.V.,France,Crémant de Limoux,Prima Perla,3.5,25,14.32,,Champagne
2,Sélection Demi-Sec Champagne Premier Cru N.V.,France,Champagne Premier Cru,Henriet-Bazin,4.1,25,25.0,,Champagne
3,Crémant de Loire L'Extra Rosé N.V.,France,Crémant de Loire,Langlois-Chateau,3.7,26,14.4,,Champagne
4,Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,27,269.0,2007,Champagne
5,Crémant d'Alsace Brut Prestige N.V.,France,Crémant d'Alsace,Domaine du Moulin de Dusenbach,3.8,28,14.95,,Champagne
6,Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Jean-Louis Schoepfer,3.7,29,14.0,,Champagne
7,Carte d'Or Demi-Sec Champagne N.V.,France,Champagne,Drappier,3.8,30,29.89,,Champagne
8,Cremant d'Alsace Blanc de Blancs N.V.,France,Crémant d'Alsace,Boeckel,4.0,31,15.5,,Champagne
9,Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,32,72.0,2014,Champagne
10,Victor Mandois Brut Champagne 2008,France,Champagne,Mandois,3.9,34,37.97,2008,Champagne
11,Crémant de Bourgogne Blanc de Blancs Extra Brut N.V.,France,Crémant de Bourgogne,Domaine Henri Boillot,4.0,34,22.5,,Champagne
12,Millésimé Crémant du Jura Brut 2014,France,Crémant du Jura,Tissot-Maire,3.7,35,13.9,2014,Champagne
13,Blanc de Blancs Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Paul Michel,3.9,36,31.68,2010,Champagne
14,Cuvée Eugénie Crémant de Limoux Brut 2017,France,Crémant de Limoux,Antech,3.6,37,14.62,2017,Champagne
15,La Croisette Brut Champagne 2014,France,Champagne,Leclerc Briant,4.3,38,145.7,2014,Champagne
16,Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Edouard Leiber,3.8,38,9.9,,Champagne
17,Vintage Rosé Brut Champagne 2012,France,Champagne,Veuve Clicquot,4.2,39,78.49,2012,Champagne
18,Cristal Rosé Brut Champagne (Millésimé) 2012,France,Champagne,Louis Roederer,4.7,39,449.9,2012,Champagne
