,Unnamed: 0,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
0,0,Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011.0,Red
1,1,Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017.0,Red
2,2,Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017.0,Red
3,3,Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014.0,Red
4,4,Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017.0,Red
5,5,Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017.0,Red
6,6,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012.0,Red
7,7,Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015.0,Red
8,8,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010.0,Red
9,9,Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017.0,Red
10,10,Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017.0,Red
11,11,Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015.0,Red
12,12,Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018.0,Red
13,13,Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015.0,Red
14,14,Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005.0,Red
15,15,Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014.0,Red
16,16,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018.0,Red
17,17,Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018.0,Red
18,18,Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017.0,Red
19,19,Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017.0,Red
20,20,Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015.0,Red
21,21,Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007.0,Red
22,22,Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,2010.0,Red
23,23,Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018.0,Red
24,24,Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005.0,Red
25,25,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015.0,Red
26,26,Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018.0,Red
27,28,Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015.0,Red
28,29,Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015.0,Red
