,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
0,Mad Méditerranée Rosé 2019,France,Méditerranée,Château Camparnaud,4.0,25,10.11,2019,Rose
1,La Villa Rosé 2018,France,Languedoc,Château La Sauvageonne,4.6,25,68.95,2018,Rose
2,Cinsault 2019,France,Pays d'Oc,Les Jamelles,3.6,26,5.56,2019,Rose
3,Réserve Côtes du Rhône Rosé 2018,France,Côtes-du-Rhône,Famille Perrin,3.6,26,8.9,2018,Rose
4,Rosé 2016,France,Pays d'Oc,Mas Janeil,3.6,26,3.7,2016,Rose
5,Rosé 2019,France,South West France,Mimbeau,3.7,26,7.45,2019,Rose
6,Côté Rosé 2019,France,Languedoc-Roussillon,Domaine Lafage,3.8,27,6.81,2019,Rose
7,Moulin des Costes Bandol Rosé 2019,France,Bandol,Domaines Bunan,3.9,27,18.9,2019,Rose
8,Friponne Rosé 2019,France,Maures,Saint Roux,3.5,27,9.07,2019,Rose
9,Rosé 2019,France,Vin de France,Les 5 Vallees,3.7,28,7.31,2019,Rose
10,Coteaux Varois en Provence Rosé 2019,France,Coteaux Varois en Provence,Château Routas,3.9,28,12.9,2019,Rose
11,Clair de Rose 2019,France,Pays d'Oc,Les Jamelles,3.3,29,5.56,2019,Rose
12,Clos Beylesse Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine de l'Abbaye,4.5,30,19.9,2019,Rose
13,281 Rosé 2019,France,Provence,Minuty,4.5,31,52.89,2019,Rose
14,Rosé de Léoube 2019,France,Côtes de Provence,Château Léoube,3.8,31,16.9,2019,Rose
15,L'or du Sud Syrah Rosé 2017,France,Pays d'Oc,Foncalieu,3.4,33,5.32,2017,Rose
16,Vignes de Nicole Rosé 2019,France,Pézenas,Paul Mas,3.4,33,7.29,2019,Rose
17,Coteaux Bourguignons Rosé 2018,France,Coteaux Bourguignons,Louis Jadot,3.6,34,13.57,2018,Rose
18,Fronton Rosé 2018,France,Fronton,Château Bellevue La Forét,3.6,34,7.44,2018,Rose
19,Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine l'Ile Porquerolles,3.6,35,17.5,2018,Rose
20,Cuvée Speciale des Vignettes Rosé 2016,France,Provence,Clos Cibonne,4.2,36,22.9,2016,Rose
21,Garrus Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.8,36,109.0,2018,Rose
22,Tavel Beaurevoir 2018,France,Tavel,M. Chapoutier,4.1,36,15.5,2018,Rose
23,L'Origine Côtes de Provence Rosé 2019,France,Côtes de Provence,Château de l'Aumerade,3.6,37,10.99,2019,Rose
24,Haedus Côtes de Provence Rosé 2019,France,Provence,Ferry Lacombe,3.8,38,9.7,2019,Rose
25,La Source Gabriel Côtes de Provence Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.9,38,8.55,2019,Rose
26,Clos Mireille Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,40,29.15,2019,Rose
27,1701 Rosé 2018,France,Languedoc,Domaine Montrose,4.1,40,25.21,2018,Rose
28,Amstramgram Grande Cuvée Cérès 2019,France,Languedoc,Calmel & Joseph,3.6,42,7.75,2019,Rose
29,Château La Rouvière Rosé 2015,France,Bandol,Domaines Bunan,4.0,42,34.9,2015,Rose
30,Petula Rosé 2019,France,Luberon,Marrenon,3.6,42,8.95,2019,Rose
31,Le Champ des Grillons Rosé 2019,France,Côtes de Thongue,La Croix Belle,3.8,45,7.95,2019,Rose
32,Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine Pinchinat,4.1,45,10.65,2019,Rose
33,Belleruche Côtes du Rhône Rosé 2019,France,Côtes-du-Rhône,M. Chapoutier,3.6,46,9.69,2019,Rose
34,Côtes de Provence Rosé 2017,France,Côtes de Provence,Domaine de La Rouillère,3.8,49,26.22,2017,Rose
35,Côtes de Provence Rosé 2018,France,Côtes de Provence,Château des Sarrins,4.0,49,13.0,2018,Rose
36,Suivez-Moi-Jeune-Homme Coteaux Varois en Provence 2019,France,Coteaux Varois en Provence,Château des Annibals,3.8,50,11.8,2019,Rose
37,Villa la Vie en Rosé 2019,France,Comté Tolosan,Lionel Osmin & Cie,3.6,51,7.3,2019,Rose
38,Côtes de Provence Rosé 2019,France,Côtes de Provence,Le Paradou,4.1,52,16.55,2019,Rose
39,Clos du Temple 2018,France,Languedoc,Gérard Bertrand,4.5,52,249.0,2018,Rose
40,Grand Ferrage Côtes de Provence 2019,France,Côtes de Provence,Mathilde Chapoutier,4.0,53,13.0,2019,Rose
41,Corail Côtes de Provence 2019,France,Côtes de Provence,Château de Roquefort,3.9,54,12.9,2019,Rose
42,Côtes de Provence Rosé 2019,France,Côtes de Provence,Hecht & Bannier,4.0,54,12.9,2019,Rose
43,Château Vignelaure Rosé 2019,France,Coteaux d'Aix-en-Provence,Château Vignelaure,3.7,57,13.55,2019,Rose
44,L'Origine Côtes de Provence Rosé 2018,France,Côtes de Provence,Château de l'Aumerade,3.3,57,11.02,2018,Rose
45,Tavel 2019,France,Tavel,E. Guigal,3.7,57,11.6,2019,Rose
46,Les Clans Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.4,59,54.0,2018,Rose
47,Merlot Rosé 2018,France,Pays d'Oc,Fortant,3.4,59,6.55,2018,Rose
48,Bandol Rosé 2019,France,Bandol,La Suffrene,3.8,60,15.5,2019,Rose
49,Château de Selle Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,61,35.9,2019,Rose
50,Rosé La Chevalière 2019,France,Provence,Laroche,3.7,66,7.89,2019,Rose
51,Mythique Languedoc Rosé 2017,France,Languedoc,Val d'Orbieu,3.5,66,6.86,2017,Rose
