,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
0,Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018,White
1,Mâcon-Prissé 2014,France,Mâcon-Prissé,Les Héritiers du Comte Lafon,3.7,25,25.92,2014,White
2,Muscadet Sèvre-et-Maine Sur Lie 2017,France,Muscadet-Sevre et Maine,Marc Brédif,3.9,25,14.38,2017,White
3,Côte de Rouffach Pinot Gris 2017,France,Alsace,René Muré,4.1,25,15.5,2017,White
4,Pouilly-Vinzelles En Paradis 2018,France,Pouilly-Vinzelles,Louis Latour,3.8,26,15.98,2018,White
5,Villa Blanche Sauvignon Blanc 2018,France,Pays d'Oc,Calmel & Joseph,3.4,26,7.4,2018,White
6,Meursault Blanc 2017,France,Meursault,Bouchard Père & Fils,3.8,26,38.7,2017,White
7,Chablis 1er Cru 'Vaillons' 2018,France,Chablis 1er Cru 'Vaillons',Domaine Servin,3.8,26,22.5,2018,White
8,Doria 2017,France,Luberon,Marrenon,3.5,26,11.99,2017,White
9,Chardonnay 2019,France,Vin de France,Château Pesquie,3.6,26,8.1,2019,White
10,Châteauneuf-du-Pape Prestige 2012,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,26,69.95,2012,White
11,Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,26,24.24,2019,White
12,Arcane 2018,France,Saumur,Château de Fosse-Sèche,4.0,26,27.2,2018,White
13,Vieilles Vignes Côtes Catalanes Blanc 2015,France,Côtes Catalanes,Gauby,4.0,26,29.15,2015,White
14,Bandol Blanc 2016,France,Bandol,Domaine de la Tour du Bon,3.8,26,18.84,2016,White
15,Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,26,34.15,2015,White
16,Embruns de Viognier 2019,France,Pays d'Oc,Michel Gassier,3.5,26,9.68,2019,White
